train_window,year,window_start_date,window_end_date,window_days,combined_regime,days,strategy,strategy_sats,dca_sats,extra_sats_vs_dca,strategy_spd,dca_spd,extra_spd_vs_dca,spd_ratio,improvement_pct,status,candidate_weight_col,candidate_weight_col_used_for_eval,uses_shifted_candidate_weight
1,2018,2018-01-01,2018-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,43,stacksats_mvrv_weight,11387.536800334497,3128389.4947744207,-3117001.957974086,11.387536800334498,3128.3894947744207,-3117.001957974086,0.003640063623585215,-99.63599363764148,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Neutral | Normal MVRV | Realized Growth Leading,102,sma_340d_weight,5250446.900456275,4196395.063873075,1054051.8365832,5250.446900456275,4196.395063873075,1054.0518365832004,1.2511803156136496,25.118031561364962,better,sma_340d_weight,sma_340d_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Recovery | Normal MVRV | Realized Growth Leading,50,stacksats_mvrv_weight,2428103.7609702433,1941724.6204345473,486379.14053569594,2428.1037609702435,1941.7246204345472,486.37914053569625,1.250488218265908,25.048821826590807,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Recovery | Normal MVRV | Realized Growth Leading,50,stacksats_momentum_weight,1746775.8228076512,1941724.6204345473,-194948.79762689606,1746.7758228076511,1941.7246204345472,-194.94879762689607,0.8996001824484938,-10.039981755150617,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
1,2018,2018-01-01,2018-12-31,365,BTC Recovery | Normal MVRV | Realized Growth Leading,50,sma_340d_weight,2444999.1803283836,1941724.6204345473,503274.55989383627,2444.9991803283838,1941.7246204345472,503.27455989383657,1.2591894620881958,25.918946208819584,better,sma_340d_weight,sma_340d_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,91,stacksats_mvrv_weight,6641512.965542686,6659642.476346005,-18129.510803318582,6641.512965542686,6659.6424763460045,-18.129510803318226,0.9972777050918707,-0.27222949081292525,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,91,stacksats_momentum_weight,6498061.374538669,6659642.476346005,-161581.1018073354,6498.061374538669,6659.6424763460045,-161.58110180733547,0.9757372708247859,-2.4262729175214104,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Bear | Low MVRV | Realized Growth Leading,91,sma_340d_weight,13891288.743875679,6659642.476346005,7231646.267529674,13891.288743875679,6659.6424763460045,7231.646267529674,2.085891065956669,108.58910659566692,better,sma_340d_weight,sma_340d_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,193,stacksats_mvrv_weight,3833506.481450747,5680988.416285131,-1847481.9348343844,3833.506481450747,5680.988416285131,-1847.4819348343844,0.6747956870430523,-32.52043129569478,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,193,stacksats_momentum_weight,6002716.516867485,5680988.416285131,321728.10058235377,6002.716516867485,5680.988416285131,321.72810058235336,1.0566324162288532,5.663241622885318,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,193,sma_340d_weight,2207568.9860562575,5680988.416285131,-3473419.4302288736,2207.5689860562575,5680.988416285131,-3473.419430228874,0.38858889057545626,-61.14111094245438,worse,sma_340d_weight,sma_340d_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Neutral | Normal MVRV | Market Growth Leading,37,stacksats_mvrv_weight,4676875.292269647,1398707.257089948,3278168.035179699,4676.875292269647,1398.7072570899481,3278.1680351796986,3.343712752302454,234.3712752302454,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Neutral | Normal MVRV | Market Growth Leading,37,stacksats_momentum_weight,1373535.1668009432,1398707.257089948,-25172.090289004846,1373.5351668009432,1398.7072570899481,-25.172090289004927,0.9820033175910046,-1.7996682408995435,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
2,2019,2019-01-01,2019-12-31,365,BTC Neutral | Normal MVRV | Market Growth Leading,37,sma_340d_weight,1858302.3377240524,1398707.257089948,459595.0806341043,1858.3023377240524,1398.7072570899481,459.5950806341043,1.328585612396339,32.85856123963391,better,sma_340d_weight,sma_340d_weight_shifted,True
