status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,150,180,sma_150d_weight,351,6,-0.45102459548672647,-227.8249451452357,66.66666666666666,50284929.22059493,50512754.16574016,82,
success,21,150,180,stacksats_mvrv_weight,351,6,-0.5270012899759036,-266.2028660558062,66.66666666666666,50246551.299684376,50512754.16574016,82,
success,21,150,180,stacksats_momentum_weight,351,6,-0.581335003825667,-293.6483213618558,66.66666666666666,50219105.84437832,50512754.16574016,82,
success,21,150,200,sma_150d_weight,371,6,-0.4435357332737144,-224.04211458576174,66.66666666666666,50288712.05115441,50512754.16574016,81,
success,21,150,200,stacksats_mvrv_weight,371,6,-0.5386150214441221,-272.0692816818191,66.66666666666666,50240684.88405836,50512754.16574016,81,
success,21,150,200,stacksats_momentum_weight,371,6,-0.5801621084360886,-293.05585959709424,66.66666666666666,50219698.30614307,50512754.16574016,81,
success,21,150,210,sma_150d_weight,381,6,-0.41500359015325117,-209.62974327310803,66.66666666666666,50303124.42246706,50512754.16574016,77,
success,21,150,210,stacksats_mvrv_weight,381,6,-0.5824731574800901,-294.22323411934485,66.66666666666666,50218530.93162082,50512754.16574016,77,
success,21,150,210,stacksats_momentum_weight,381,6,-0.580688847884947,-293.3219301999925,66.66666666666666,50219432.235540174,50512754.16574016,77,
success,21,150,240,sma_150d_weight,411,6,-0.319630651882008,-161.45424542351248,66.66666666666666,50351299.92031667,50512754.16574016,66,
success,21,150,240,stacksats_mvrv_weight,411,6,-0.6526513787415089,-329.6721865030122,66.66666666666666,50183081.97923716,50512754.16574016,66,
success,21,150,240,stacksats_momentum_weight,411,6,-0.5480852901972755,-276.8529752559334,66.66666666666666,50235901.19048424,50512754.16574016,66,
success,21,150,270,sma_150d_weight,441,6,-0.2653391388263593,-134.0301069008492,66.66666666666666,50378724.05883932,50512754.16574016,60,
success,21,150,270,stacksats_mvrv_weight,441,6,-0.6092374469546691,-307.7426138658411,66.66666666666666,50205011.55187433,50512754.16574016,60,
